[1]-Total no of Return statement,[2]-Total no of Control Statement,[3]-Total no of Allocation instruction,[4]-Total no of Load Instructions,[5]-Total no of Store Instructions,[6]-Total no of Multiplication (Float Datatype) Operation,[7]-Total no of Addition(Integer Datatype) Instruction,[8]-Total no of Multiplication(Integer Datatype) Instruction,[9]-Total no of Division(Float Datatype) instruction,[10]-Total no of Division(Integer Datatype) instruction,[11]-Total no of Condition Check instruction,[12]-Total no of Addition(Float Datatype) instruction,[13]-Total no of Addition(Integer Datatype) instruction,[14]-Total no of Subtraction(Float Datatype) instruction,[15]-Total no of Subtraction(Integer Datatype) instruction,[16]-Total no of Function Call instruction,[17]-Total no of Functions,[18]-Total no of Blocks,[19]-Total no of Instructions,[20]-Total no of Float Operation,[21]-Total no of Integer Operation,[22]-Total no of Loop Operation,[23]-Total no of Loop,[24]-Matrix Size,[25]-Speed up
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11867,134.373
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11990,134.393
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,11998,135.313
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12000,87.2968
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12026,130.27
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12040,88.9428
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12052,121.845
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12063,149.618
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12090,137.312
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12125,149.425
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12129,142.35299999999998
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12151,113.604
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12189,129.023
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12191,120.686
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12211,118.156
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12216,92.2985
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12287,167.59099999999998
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12392,96.1436
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12407,157.136
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12413,155.172
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12485,152.028
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12500,125.024
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12540,128.541
