[1]-Total no of Return statement,[2]-Total no of Control Statement,[3]-Total no of Allocation instruction,[4]-Total no of Load Instructions,[5]-Total no of Store Instructions,[6]-Total no of Multiplication (Float Datatype) Operation,[7]-Total no of Addition(Integer Datatype) Instruction,[8]-Total no of Multiplication(Integer Datatype) Instruction,[9]-Total no of Division(Float Datatype) instruction,[10]-Total no of Division(Integer Datatype) instruction,[11]-Total no of Condition Check instruction,[12]-Total no of Addition(Float Datatype) instruction,[13]-Total no of Addition(Integer Datatype) instruction,[14]-Total no of Subtraction(Float Datatype) instruction,[15]-Total no of Subtraction(Integer Datatype) instruction,[16]-Total no of Function Call instruction,[17]-Total no of Functions,[18]-Total no of Blocks,[19]-Total no of Instructions,[20]-Total no of Float Operation,[21]-Total no of Integer Operation,[22]-Total no of Loop Operation,[23]-Total no of Loop,[24]-Ram,[25]-CPU Rank,[26]-GPU Rank,[27]-Matrix Size,[28]-Speed up
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 13500, 0.10805733333333331
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 14000, 0.11666333333333331
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 14500, 0.11803399999999997
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 15000, 0.13397066666666663
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 15500, 0.1373846666666666
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 16000, 0.15264166666666662
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 16500, 0.15475733333333336
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 17000, 0.16192833333333334
1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 4, 1, 15, 6, 16, 0, 0, 8, 2000, 1000, 17500, 0.17722833333333332
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10000, 49.54130333333334
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10026, 94.85627000000001
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10141, 103.09747666666668
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10198, 94.55110666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10230, 85.94564333333334
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10238, 95.09624666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10275, 108.26160333333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10311, 101.65499333333334
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10316, 86.72628666666665
